FeatureName,Year,Births,Deaths,Mortality Rate
Aberdeen City,2015,"2,609",29,11.11536987
Aberdeenshire,2015,"2,891",24,8.301625735
Angus,2015,"1,065",9,8.450704225
Argyll and Bute,2015,688,4,5.813953488
City of Edinburgh,2015,"5,274",96,18.20250284
Clackmannanshire,2015,553,6,10.84990958
Dumfries and Galloway,2015,"1,256",18,14.33121019
Dundee City,2015,"1,555",28,18.00643087
East Ayrshire,2015,"1,327",25,18.83948757
East Dunbartonshire,2015,971,10,10.29866117
East Lothian,2015,"1,061",11,10.36757776
East Renfrewshire,2015,871,8,9.184845006
Falkirk,2015,"1,594",17,10.66499373
Fife,2015,"3,755",48,12.78295606
Glasgow City,2015,"7,086",91,12.8422241
Highland,2015,"2,220",36,16.21621622
Inverclyde,2015,711,8,11.25175809
Midlothian,2015,"1,082",8,7.393715342
Moray,2015,905,14,15.46961326
Na h-Eileanan Siar,2015,222,7,31.53153153
North Ayrshire,2015,"1,255",7,5.577689243
North Lanarkshire,2015,"3,716",56,15.06996771
Orkney Islands,2015,191,2,10.47120419
Perth and Kinross,2015,"1,357",16,11.79071481
Renfrewshire,2015,"1,712",7,4.088785047
Scottish Borders,2015,"1,037",16,15.42912247
Shetland Islands,2015,234,0,0
South Ayrshire,2015,"1,030",15,14.5631068
South Lanarkshire,2015,"3,185",30,9.419152276
Stirling,2015,792,6,7.575757576
West Dunbartonshire,2015,924,7,7.575757576
West Lothian,2015,"1,969",18,9.141696293
Aberdeen City,2016,"2,521",37,14.67671559
Aberdeenshire,2016,"2,811",34,12.09533974
Angus,2016,"1,025",13,12.68292683
Argyll and Bute,2016,699,4,5.722460658
City of Edinburgh,2016,"5,300",56,10.56603774
Clackmannanshire,2016,505,11,21.78217822
Dumfries and Galloway,2016,"1,318",29,22.0030349
Dundee City,2016,"1,576",41,26.01522843
East Ayrshire,2016,"1,275",10,7.843137255
East Dunbartonshire,2016,951,8,8.412197687
East Lothian,2016,"1,041",19,18.25168108
East Renfrewshire,2016,861,10,11.61440186
Falkirk,2016,"1,565",35,22.36421725
Fife,2016,"3,739",77,20.59374164
Glasgow City,2016,"6,833",138,20.19610713
Highland,2016,"2,150",20,9.302325581
Inverclyde,2016,706,1,1.416430595
Midlothian,2016,"1,088",9,8.272058824
Moray,2016,939,3,3.194888179
Na h-Eileanan Siar,2016,238,2,8.403361345
North Ayrshire,2016,"1,244",18,14.46945338
North Lanarkshire,2016,"3,511",46,13.10168043
Orkney Islands,2016,178,0,0
Perth and Kinross,2016,"1,325",19,14.33962264
Renfrewshire,2016,"1,773",10,5.640157924
Scottish Borders,2016,"1,005",6,5.970149254
Shetland Islands,2016,266,0,0
South Ayrshire,2016,976,12,12.29508197
South Lanarkshire,2016,"3,315",31,9.351432881
Stirling,2016,807,14,17.34820322
West Dunbartonshire,2016,958,10,10.43841336
West Lothian,2016,"1,989",20,10.05530417
Aberdeen City,2017,"2,402",19,7.910074938
Aberdeenshire,2017,"2,659",22,8.273787138
Angus,2017,"1,054",11,10.43643264
Argyll and Bute,2017,665,8,12.03007519
City of Edinburgh,2017,"5,033",77,15.29902643
Clackmannanshire,2017,536,9,16.79104478
Dumfries and Galloway,2017,"1,248",15,12.01923077
Dundee City,2017,"1,493",23,15.40522438
East Ayrshire,2017,"1,151",19,16.50738488
East Dunbartonshire,2017,"1,036",0,0
East Lothian,2017,971,9,9.268795057
East Renfrewshire,2017,886,6,6.772009029
Falkirk,2017,"1,567",27,17.23037652
Fife,2017,"3,465",46,13.27561328
Glasgow City,2017,"6,852",137,19.99416229
Highland,2017,"2,089",20,9.573958832
Inverclyde,2017,667,12,17.9910045
Midlothian,2017,"1,107",7,6.323396567
Moray,2017,856,8,9.345794393
Na h-Eileanan Siar,2017,215,4,18.60465116
North Ayrshire,2017,"1,193",22,18.44090528
