FeatureName,Year,Value,Energy Type,Energy Consuming Sector
Renfrewshire,2015,4.911,Bioenergy & Wastes,Domestic
Angus,2015,1.615,Petroleum Products,Commercial
Glasgow City,2015,0,Bioenergy & Wastes,Commercial
West Lothian,2015,301.994,Electricity,Domestic
Midlothian,2015,2.914,Manufactured Fuels,All
Midlothian,2015,629.01,Petroleum Products,All
Glasgow City,2015,3898.222,All,Domestic
City of Edinburgh,2015,6.333,Petroleum Products,Commercial
South Lanarkshire,2015,8.372,Bioenergy & Wastes,Commercial
Perth and Kinross,2015,19.969,Bioenergy & Wastes,Domestic
Orkney Islands,2015,1.332,Bioenergy & Wastes,Commercial
South Ayrshire,2015,0.325,Petroleum Products,Public Sector
Moray,2015,0,Manufactured Fuels,Industrial
South Ayrshire,2015,657.483,Gas,Domestic
Perth and Kinross,2015,71.483,Petroleum Products,Rail
Perth and Kinross,2015,2023.81,Petroleum Products,Road Transport
Orkney Islands,2015,0.293,Coal,Commercial
Midlothian,2015,633.387,Gas,All
South Ayrshire,2015,286.766,Electricity,Industrial & Commercial
East Lothian,2015,93.128,Gas,Commercial
Orkney Islands,2015,0,Gas,Industrial
South Ayrshire,2015,102.467,Petroleum Products,Agriculture
Perth and Kinross,2015,0,Coal,Agriculture
North Lanarkshire,2015,2583.19,All,Domestic
Shetland Islands,2015,0,Coal,Agriculture
East Lothian,2015,2702.509,All,All
Midlothian,2015,8.618,Bioenergy & Wastes,Domestic
Perth and Kinross,2015,0,Manufactured Fuels,Industrial
Midlothian,2015,146.293,Electricity,Domestic
Shetland Islands,2015,4.22,Bioenergy & Wastes,Road Transport
South Lanarkshire,2015,120.12,Petroleum Products,Domestic
West Lothian,2015,253.191,Electricity,Commercial
Midlothian,2015,2.914,Manufactured Fuels,Domestic
City of Edinburgh,2015,845.763,Electricity,Industrial
South Ayrshire,2015,11.857,Bioenergy & Wastes,Domestic
Glasgow City,2015,3.887,Petroleum Products,Agriculture
Glasgow City,2015,8.906,Petroleum Products,Commercial
Renfrewshire,2015,36.17,Bioenergy & Wastes,All
South Ayrshire,2015,218.111,Electricity,Domestic
City of Edinburgh,2015,3028.826,Petroleum Products,All
Moray,2015,137.667,Petroleum Products,Domestic
South Ayrshire,2015,0,Bioenergy & Wastes,Commercial
West Lothian,2015,0,Bioenergy & Wastes,Industrial
Scottish Borders,2015,178.011,Electricity,Industrial
South Ayrshire,2015,348.69,Gas,Industrial
South Ayrshire,2015,298.674,Gas,Commercial
North Ayrshire,2015,16.574,Bioenergy & Wastes,Road Transport
Glasgow City,2015,2819.939,Gas,Domestic
Angus,2015,2782.793,All,All
Glasgow City,2015,13.826,Petroleum Products,Domestic
West Lothian,2015,0,Coal,Agriculture
West Lothian,2015,9.031,Manufactured Fuels,All
Perth and Kinross,2015,152.274,Gas,Commercial
South Ayrshire,2015,504.878,Electricity,All
