"FeatureName","Year","Value","Energy.Type","Energy.Consuming.Sector"
"Aberdeen City",2015,1234.071,"Electricity","All"
"Aberdeen City",2015,33.629,"Coal","All"
"Aberdeen City",2015,2377.717,"Gas","All"
"Aberdeen City",2015,16.644,"Manufactured Fuels","All"
"Aberdeen City",2015,1430.167,"Petroleum Products","All"
"Aberdeen City",2015,77.415,"Bioenergy & Wastes","All"
"Aberdeen City",2016,2323.112,"Gas","All"
"Aberdeen City",2016,27.526,"Coal","All"
"Aberdeen City",2016,72.182,"Bioenergy & Wastes","All"
"Aberdeen City",2016,9.096,"Manufactured Fuels","All"
"Aberdeen City",2016,1436.544,"Petroleum Products","All"
"Aberdeen City",2016,1151.352,"Electricity","All"
"Aberdeen City",2017,1127.557,"Electricity","All"
"Aberdeen City",2017,97.017,"Bioenergy & Wastes","All"
"Aberdeen City",2017,2363.251,"Gas","All"
"Aberdeen City",2017,25.554,"Coal","All"
"Aberdeen City",2017,11.34,"Manufactured Fuels","All"
"Aberdeen City",2017,1468.104,"Petroleum Products","All"
"Aberdeen City",2018,2324.299,"Gas","All"
"Aberdeen City",2018,24.36,"Coal","All"
"Aberdeen City",2018,110.822,"Bioenergy & Wastes","All"
"Aberdeen City",2018,1121.694,"Electricity","All"
"Aberdeen City",2018,11.36,"Manufactured Fuels","All"
"Aberdeen City",2018,1470.49,"Petroleum Products","All"
"Aberdeen City",2019,2278.418,"Gas","All"
"Aberdeen City",2019,136.058,"Bioenergy & Wastes","All"
"Aberdeen City",2019,10.628,"Manufactured Fuels","All"
"Aberdeen City",2019,18.034,"Coal","All"
"Aberdeen City",2019,1584.183,"Petroleum Products","All"
"Aberdeen City",2019,1073.141,"Electricity","All"
"Aberdeen City",2020,147.599,"Bioenergy & Wastes","All"
"Aberdeen City",2020,2351.605,"Gas","All"
"Aberdeen City",2020,13.291,"Manufactured Fuels","All"
"Aberdeen City",2020,17.848,"Coal","All"
"Aberdeen City",2020,964.712,"Electricity","All"
"Aberdeen City",2020,1286.645,"Petroleum Products","All"
"Aberdeenshire",2015,116.104,"Bioenergy & Wastes","All"
"Aberdeenshire",2015,27.487,"Manufactured Fuels","All"
"Aberdeenshire",2015,1379.189,"Gas","All"
"Aberdeenshire",2015,1271.087,"Electricity","All"
"Aberdeenshire",2015,50.79,"Coal","All"
"Aberdeenshire",2015,3549.305,"Petroleum Products","All"
"Aberdeenshire",2016,1398.072,"Gas","All"
"Aberdeenshire",2016,3711.475,"Petroleum Products","All"
"Aberdeenshire",2016,46.489,"Coal","All"
"Aberdeenshire",2016,125.387,"Bioenergy & Wastes","All"
"Aberdeenshire",2016,1228.86,"Electricity","All"
"Aberdeenshire",2016,21.267,"Manufactured Fuels","All"
"Aberdeenshire",2017,1411.446,"Gas","All"
