council_area,Longitude,Latitude
Aberdeen City,-2.057143,57.146944
Aberdeenshire,-2.726389,57.155833
Angus,-2.920682,56.7969
Argyll and Bute,-5.056944,56.324722
City of Edinburgh,-3.194167,55.9525
Clackmannanshire,-3.752941,56.107535
Dumfries and Galloway,-4.270278,55.079722
Dundee City,-2.970721,56.462018
East Ayrshire,-4.483333,55.724722
East Dunbartonshire,-4.277778,56.0225
East Lothian,-2.857222,55.924722
East Renfrewshire,-4.349167,55.855833
Falkirk,-3.7839131,56.0018775
Fife,-3.224722,56.3375
Glasgow City,-4.25,55.85
Highland,-5.543889,57.224722
Inverclyde,-4.538889,55.690278
Midlothian,-3.085704,55.897592
Moray,-3.335724,57.653484
Na h-Eileanan Siar,-6.384869,58.209435
North Ayrshire,-4.611111,55.658333
North Lanarkshire,-4.169444,55.736111
Orkney Islands,-2.5475,59.328333
Perth and Kinross,-3.680278,56.751667
Renfrewshire,-4.475,55.888333
Scottish Borders,-2.786139,55.54857
Shetland Islands,-1.203889,60.138056
South Ayrshire,-4.258333,55.406667
South Lanarkshire,-4.246667,55.508333
Stirling,-4.158333,56.471667
West Dunbartonshire,-4.416667,56.066667
West Lothian,-3.35,55.933333
