FeatureName,Longitude,Latitude,PetroleumConsumption,CoalConsumption,ManufacturedFuelsConsumption,TotalConsumption,ElectricityConsumption,GasConsumption,BioenergyConsumption,Mortality.Rate,TonnesRecycled,TonnesLandfilled,TonnesOther,TonnesWasteGenerated,PercentageRecycled,PercentageLandfilled,gap_16_24,gap_25_49,gap_50_64,gap_16_64
Aberdeen City,-2.057143,57.146944,361.5055833,6.997666667,8.039888889,2518.955417,588.4674667,1168.200208,42.73953333,1.110772165,39872.91667,33797.08333,17205.26667,90875.15,44.03333333,36.51666667,1.166666667,6.29047619,3.623809524,5.180952381
Aberdeenshire,-2.726389,57.155833,896.6934583,11.7762381,16.12394444,3229.201417,622.9106333,708.467,65.22883333,1.030227102,53863.2,68871.2,1940.016667,124674.2333,43.18333333,55.26666667,-1.18,11.91428571,15.51428571,11.25714286
Angus,-2.920682,56.7969,306.7538333,3.316785714,3.603333333,1372.020625,263.1380667,458.10275,26.0556,1.435930057,31619.81667,8239.016667,15484.55,55343.33333,57.13333333,14.5,-2.285714286,9.70952381,6.133333333,6.19047619
Argyll and Bute,-5.056944,56.324722,281.3362917,8.852785714,4.4465,1107.661292,247.2105,230.2279167,35.8249,1.071211227,17458.51667,23741.76667,7701.966667,48902.18333,35.66666667,48.58333333,2.347619048,8.252380952,7.466666667,6.347619048
City of Edinburgh,-3.194167,55.9525,719.2012708,5.687428571,2.6995,4977.169042,1196.232533,2315.227,57.50646667,1.44971699,78721.8,71393.4,44924.71667,195040,40.38333333,36.71666667,-1.265,12.72380952,1.104761905,7.528571429
Clackmannanshire,-3.752941,56.107535,72.25820833,0.314833333,1.967777778,860.0915417,165.4110333,553.7379167,6.0453,1.322941802,14070.06667,10268.53333,1616.316667,25954.88333,54.06666667,39.9,-5.223076923,11.89047619,11.0047619,9.719047619
Dumfries and Galloway,-4.270278,55.079722,730.0424792,12.69242857,14.49405556,2596.275042,447.2751,588.7980417,69.6811,1.292067637,19971.73333,25352.63333,29898.8,75223.06667,26.61666667,33.21666667,5.895238095,7.585714286,14.88571429,9.780952381
Dundee City,-2.970721,56.462018,196.4766458,0.048952381,0.506555556,1457.207542,328.8146333,728.7122083,11.27206667,1.932453235,22828.33333,4546.866667,37486.48333,64861.55,35.21666667,7,-9.40952381,3.485714286,5.628571429,1.49047619
East Ayrshire,-4.483333,55.724722,267.4928542,16.10345238,4.051888889,1451.857958,218.1264667,524.8001667,117.7617,1.181370311,27971.83333,21264.41667,5633.883333,54866.58333,50.88333333,38.85,-3,8.757142857,11.03333333,7.238095238
East Dunbartonshire,-4.277778,56.0225,124.1085208,0.71152381,1.371444444,888.9461667,168.8646667,456.9477917,8.989633333,0.93076485,27786.06667,16539.83333,9906.033333,54232.68333,51.31666667,30.3,-3.90952381,8.033333333,10.07142857,6.185714286
East Lothian,-2.857222,55.924722,227.2555625,139.0272381,3.763722222,1432.983667,243.5764667,388.317125,87.4701,1.186884576,26798.03333,17436.93333,6475.1,50710,52.85,34.43333333,4.657142857,9.861904762,8.623809524,8.280952381
East Renfrewshire,-4.349167,55.855833,151.8219792,0.234404762,1.397333333,816.1913333,108.0093667,380.728,11.4731,0.88550891,29089.46667,14233.7,3180.883333,46510.66667,62.48333333,30.43333333,-1.733333333,9.166666667,13.11904762,7.133333333
Falkirk,-3.7839131,56.0018775,3580.615229,0.733738095,370.6008333,8484.208458,357.7491333,671.4952083,22.87116667,1.386789021,38157.11667,28663.66667,5585.15,72405.96667,52.68333333,39.61666667,5.20952381,9.480952381,9.852380952,8.552380952
Fife,-3.224722,56.3375,1773.102229,3.585595238,18.24094444,6143.27075,794.7601667,1697.645583,90.79856667,1.613330225,88610.93333,75122.86667,12242.83333,175976.55,50.16666667,42.76666667,3.80952381,9.904761905,11.64285714,9.323809524
Glasgow City,-4.25,55.85,821.62325,0.308238095,2.255611111,5657.356542,1450.293067,2583.053292,46.49313333,1.576745174,62251.2,139498.6833,36029.08333,237778.9833,26.13333333,59.75,3.685714286,7.733333333,6.838095238,6.861904762
Highland,-5.543889,57.224722,856.2310625,19.86361905,12.68938889,3670.773458,785.8753667,579.0162917,457.3499667,1.126644004,53000.81667,68265.6,4330.3,125601.2667,42.05,54.45,-5.1,2.019047619,8.771428571,3.638095238
Inverclyde,-4.538889,55.690278,109.5877292,0.149785714,1.034333333,720.6082917,158.2832333,335.7811667,8.0848,0.981327686,14741.6,12256.7,1349.15,28359.2,52.06666667,43.13333333,4.847619048,5.861904762,-4.09047619,1.476190476
Midlothian,-3.085704,55.897592,158.4081667,3.281333333,2.106333333,858.876375,179.3871667,336.539,20.14996667,0.682180676,21510.58333,11449.06667,9048.033333,42015.18333,51.2,27.1,-1.605,7.938095238,1.895238095,4.566666667
Moray,-3.335724,57.653484,237.3874583,5.246571429,4.067888889,1695.872667,255.7113667,914.6545417,40.14446667,1.026966116,27811.55,20419.28333,0.016666667,48231.03333,57.6,42.4,0.085714286,13.93809524,15.14761905,11.8047619
Na h-Eileanan Siar,-6.384869,58.209435,93.83902083,3.557904762,2,298.1072083,73.9981,9.096125,13.83903333,1.339957792,3452.8,9114.283333,1534.066667,14101.1,24.56666667,64.68333333,-8.957142857,3.928571429,6.042857143,2.385714286
North Ayrshire,-4.611111,55.658333,194.2063958,0.949452381,2.397555556,2576.233125,348.6094333,1109.349083,595.0263,1.118161339,34342.68333,20254.78333,7819.983333,62416.98333,55.01666667,32.28333333,7.435,9.404761905,14.75714286,10.54285714
North Lanarkshire,-4.169444,55.736111,774.5623125,1.066119048,17.50138889,3762.626792,686.4090667,1469.626208,53.52313333,1.299032709,62773.23333,57586.78333,34044.8,154404.7167,40.68333333,37.21666667,-8.4,7.714285714,8.338095238,5.057142857
Orkney Islands,-2.5475,59.328333,85.76670833,1.816190476,1.591666667,252.6947083,66.7819,0,6.098066667,0.17452007,1981.216667,2591.45,4660.016667,9807.15,20.45,26.2,0.175,-0.585714286,13.58095238,4.780952381
Perth and Kinross,-3.680278,56.751667,632.6379167,4.662,5.501333333,2204.049375,364.4628667,512.5415417,42.27336667,1.307753757,40090.45,29584.83333,5883.066667,75557.96667,53.05,39.2,-2.5,4.99047619,11.35238095,5.528571429
Renfrewshire,-4.475,55.888333,325.0465,0.231619048,1.120222222,1844.123167,394.6879,791.986375,19.0141,1.041633129,40228.01667,18556.35,24000.93333,82828.61667,48.58333333,22.38333333,-2.180952381,4.771428571,4.461904762,3.4
Scottish Borders,-2.786139,55.54857,385.6545625,18.30311905,4.7835,1575.816125,284.8036667,395.2525833,75.5372,1.172695317,22173.86667,22920.16667,6697.283333,51791.2,42.83333333,44.11666667,0.7,11.37619048,10.51904762,8.928571429
Shetland Islands,-1.203889,60.138056,89.15910417,2.20697619,1.633444444,288.2401667,92.71133333,0,8.9784,0.468412024,1141.083333,2156.366667,6432.95,9730.55,11.85,22.16666667,-0.25,3.7,18.75238095,5.161904762
South Ayrshire,-4.258333,55.406667,270.2519167,1.279928571,3.827,1435.631042,242.2575667,632.8342083,17.22893333,1.25261615,29588.11667,19792.93333,6242.1,55623.2,53.25,35.55,-0.995238095,8.152380952,5.695238095,5.561904762
South Lanarkshire,-4.246667,55.508333,731.8245417,4.726238095,8.483722222,3368.577833,578.8859667,1240.275042,56.55613333,1.15347482,70637.28333,60997.9,19531.73333,151166.8,46.75,40.31666667,-3.042857143,8.066666667,9.604761905,6.261904762
Stirling,-4.158333,56.471667,291.9305833,1.540952381,3.237333333,1788.988625,238.0723667,610.8886667,288.5506667,1.166718719,22760.85,17184,2748.766667,42651.2,53.4,40.25,0.533333333,4.728571429,9.19047619,4.723809524
West Dunbartonshire,-4.416667,56.066667,137.2347292,0.051714286,0.390944444,817.0935417,173.4500333,364.0774167,7.9344,1.068315188,19308.01667,19787.21667,4187.95,43283.11667,44.6,45.71666667,-5.123809524,6.004761905,3.476190476,3.242857143
West Lothian,-3.35,55.933333,401.4613542,0.8525,5.005888889,2170.582542,426.8418333,925.6459583,26.7732,0.96732797,41243.51667,21164.56667,13980.16667,76387.63333,54.26666667,28.26666667,1.195238095,10.01904762,11.84285714,8.966666667
